# Run complete. Total time: 06:38:31

Benchmark                                                                                                                                  (fileUnderTest)  Mode  Samples        Score        Error  Units
b.BenchMarkBestCase.benchCoarseLockBasedPriorityQueue_8Threads_EnqOnly                                      src/bench/benchCases/AscendingOrder_100000.txt  avgt       20    60455.333 ±  15774.599  us/op
b.BenchMarkBestCase.benchCoarseLockBasedPriorityQueue_8Threads_EnqOnly                                     src/bench/benchCases/AscendingOrder_1000000.txt  avgt       20   897226.277 ± 171049.221  us/op
b.BenchMarkBestCase.benchCoarseLockBasedPriorityQueue_8Threads_EnqThenDeq                                     src/bench/benchCases/AscendingOrder_1000.txt  avgt       20     6389.095 ±   2399.315  us/op
b.BenchMarkBestCase.benchCoarseLockBasedPriorityQueue_8Threads_EnqThenDeq                                    src/bench/benchCases/AscendingOrder_10000.txt  avgt       20    29759.116 ±  12184.419  us/op
b.BenchMarkBestCase.benchCoarseLockBasedPriorityQueue_8Threads_EnqThenDeq                                   src/bench/benchCases/AscendingOrder_100000.txt  avgt       20   215233.815 ±  41993.788  us/op
b.BenchMarkBestCase.benchCoarseLockBasedPriorityQueue_8Threads_EnqThenDeq                                  src/bench/benchCases/AscendingOrder_1000000.txt  avgt       20  2434356.014 ± 398149.427  us/op
b.BenchMarkMixedCase.benchCoarseLockBasedPriorityQueue_16Threads_DeqOnly                        src/bench/benchCases/AscendingThenDescendingOrder_1000.txt  avgt       20     4918.117 ±   2972.101  us/op
b.BenchMarkMixedCase.benchCoarseLockBasedPriorityQueue_16Threads_DeqOnly                       src/bench/benchCases/AscendingThenDescendingOrder_10000.txt  avgt       20    21766.939 ±  16298.680  us/op
b.BenchMarkMixedCase.benchCoarseLockBasedPriorityQueue_16Threads_DeqOnly                      src/bench/benchCases/AscendingThenDescendingOrder_100000.txt  avgt       20   260276.149 ±  27431.086  us/op
b.BenchMarkMixedCase.benchCoarseLockBasedPriorityQueue_16Threads_DeqOnly                     src/bench/benchCases/AscendingThenDescendingOrder_1000000.txt  avgt       20  2357819.001 ± 444960.331  us/op
b.BenchMarkMixedCase.benchCoarseLockBasedPriorityQueue_16Threads_EnqAndDeqSimultaneously        src/bench/benchCases/AscendingThenDescendingOrder_1000.txt  avgt       20     6572.810 ±   2074.984  us/op
b.BenchMarkMixedCase.benchCoarseLockBasedPriorityQueue_16Threads_EnqAndDeqSimultaneously       src/bench/benchCases/AscendingThenDescendingOrder_10000.txt  avgt       20    39281.679 ±  27114.541  us/op
b.BenchMarkMixedCase.benchCoarseLockBasedPriorityQueue_16Threads_EnqAndDeqSimultaneously      src/bench/benchCases/AscendingThenDescendingOrder_100000.txt  avgt       20   268468.141 ±  73303.563  us/op
b.BenchMarkMixedCase.benchCoarseLockBasedPriorityQueue_16Threads_EnqAndDeqSimultaneously     src/bench/benchCases/AscendingThenDescendingOrder_1000000.txt  avgt       20  3191960.372 ± 310217.736  us/op
b.BenchMarkMixedCase.benchCoarseLockBasedPriorityQueue_16Threads_EnqOnly                        src/bench/benchCases/AscendingThenDescendingOrder_1000.txt  avgt       20     5887.605 ±   2364.745  us/op
b.BenchMarkMixedCase.benchCoarseLockBasedPriorityQueue_16Threads_EnqOnly                       src/bench/benchCases/AscendingThenDescendingOrder_10000.txt  avgt       20    14765.218 ±  10474.929  us/op
b.BenchMarkMixedCase.benchCoarseLockBasedPriorityQueue_16Threads_EnqOnly                      src/bench/benchCases/AscendingThenDescendingOrder_100000.txt  avgt       20    85224.524 ±  38932.342  us/op
b.BenchMarkMixedCase.benchCoarseLockBasedPriorityQueue_16Threads_EnqOnly                     src/bench/benchCases/AscendingThenDescendingOrder_1000000.txt  avgt       20   747225.616 ± 187296.550  us/op
b.BenchMarkMixedCase.benchCoarseLockBasedPriorityQueue_16Threads_EnqThenDeq                     src/bench/benchCases/AscendingThenDescendingOrder_1000.txt  avgt       20    12952.506 ±  13211.423  us/op
b.BenchMarkMixedCase.benchCoarseLockBasedPriorityQueue_16Threads_EnqThenDeq                    src/bench/benchCases/AscendingThenDescendingOrder_10000.txt  avgt       20    24991.759 ±  12594.970  us/op
b.BenchMarkMixedCase.benchCoarseLockBasedPriorityQueue_16Threads_EnqThenDeq                   src/bench/benchCases/AscendingThenDescendingOrder_100000.txt  avgt       20   307036.556 ±  52883.961  us/op
b.BenchMarkMixedCase.benchCoarseLockBasedPriorityQueue_16Threads_EnqThenDeq                  src/bench/benchCases/AscendingThenDescendingOrder_1000000.txt  avgt       20  3602031.836 ± 587727.283  us/op
b.BenchMarkMixedCase.benchCoarseLockBasedPriorityQueue_1Thread_DeqOnly                          src/bench/benchCases/AscendingThenDescendingOrder_1000.txt  avgt       20     5162.534 ±   2329.177  us/op
b.BenchMarkMixedCase.benchCoarseLockBasedPriorityQueue_1Thread_DeqOnly                         src/bench/benchCases/AscendingThenDescendingOrder_10000.txt  avgt       20    19868.252 ±  17737.677  us/op
b.BenchMarkMixedCase.benchCoarseLockBasedPriorityQueue_1Thread_DeqOnly                        src/bench/benchCases/AscendingThenDescendingOrder_100000.txt  avgt       20   163272.870 ±  17862.466  us/op
b.BenchMarkMixedCase.benchCoarseLockBasedPriorityQueue_1Thread_DeqOnly                       src/bench/benchCases/AscendingThenDescendingOrder_1000000.txt  avgt       20  1801222.606 ± 438287.921  us/op
b.BenchMarkMixedCase.benchCoarseLockBasedPriorityQueue_1Thread_EnqAndDeqSimultaneously          src/bench/benchCases/AscendingThenDescendingOrder_1000.txt  avgt       20     8131.348 ±   6604.611  us/op
b.BenchMarkMixedCase.benchCoarseLockBasedPriorityQueue_1Thread_EnqAndDeqSimultaneously         src/bench/benchCases/AscendingThenDescendingOrder_10000.txt  avgt       20    20806.058 ±  12485.566  us/op
b.BenchMarkMixedCase.benchCoarseLockBasedPriorityQueue_1Thread_EnqAndDeqSimultaneously        src/bench/benchCases/AscendingThenDescendingOrder_100000.txt  avgt       20   295362.504 ±  70965.735  us/op
b.BenchMarkMixedCase.benchCoarseLockBasedPriorityQueue_1Thread_EnqAndDeqSimultaneously       src/bench/benchCases/AscendingThenDescendingOrder_1000000.txt  avgt       20  2912522.328 ± 370335.237  us/op
b.BenchMarkMixedCase.benchCoarseLockBasedPriorityQueue_1Thread_EnqOnly                          src/bench/benchCases/AscendingThenDescendingOrder_1000.txt  avgt       20     4986.654 ±   2634.122  us/op
b.BenchMarkMixedCase.benchCoarseLockBasedPriorityQueue_1Thread_EnqOnly                         src/bench/benchCases/AscendingThenDescendingOrder_10000.txt  avgt       20     6630.186 ±   3536.682  us/op
b.BenchMarkMixedCase.benchCoarseLockBasedPriorityQueue_1Thread_EnqOnly                        src/bench/benchCases/AscendingThenDescendingOrder_100000.txt  avgt       20    54031.478 ±  30089.541  us/op
b.BenchMarkMixedCase.benchCoarseLockBasedPriorityQueue_1Thread_EnqOnly                       src/bench/benchCases/AscendingThenDescendingOrder_1000000.txt  avgt       20   850823.024 ± 160266.894  us/op
b.BenchMarkMixedCase.benchCoarseLockBasedPriorityQueue_1Thread_EnqThenDeq                       src/bench/benchCases/AscendingThenDescendingOrder_1000.txt  avgt       20     6408.111 ±   3044.541  us/op
b.BenchMarkMixedCase.benchCoarseLockBasedPriorityQueue_1Thread_EnqThenDeq                      src/bench/benchCases/AscendingThenDescendingOrder_10000.txt  avgt       20    12055.940 ±   5847.056  us/op
b.BenchMarkMixedCase.benchCoarseLockBasedPriorityQueue_1Thread_EnqThenDeq                     src/bench/benchCases/AscendingThenDescendingOrder_100000.txt  avgt       20   115478.313 ±  13548.236  us/op
b.BenchMarkMixedCase.benchCoarseLockBasedPriorityQueue_1Thread_EnqThenDeq                    src/bench/benchCases/AscendingThenDescendingOrder_1000000.txt  avgt       20  1416982.721 ±  42578.766  us/op
b.BenchMarkMixedCase.benchCoarseLockBasedPriorityQueue_32Threads_DeqOnly                        src/bench/benchCases/AscendingThenDescendingOrder_1000.txt  avgt       20     3022.924 ±   1112.709  us/op
b.BenchMarkMixedCase.benchCoarseLockBasedPriorityQueue_32Threads_DeqOnly                       src/bench/benchCases/AscendingThenDescendingOrder_10000.txt  avgt       20    10356.612 ±   1018.338  us/op
b.BenchMarkMixedCase.benchCoarseLockBasedPriorityQueue_32Threads_DeqOnly                      src/bench/benchCases/AscendingThenDescendingOrder_100000.txt  avgt       20   148620.973 ±  19283.973  us/op
b.BenchMarkMixedCase.benchCoarseLockBasedPriorityQueue_32Threads_DeqOnly                     src/bench/benchCases/AscendingThenDescendingOrder_1000000.txt  avgt       20  1487728.857 ± 164352.253  us/op
b.BenchMarkMixedCase.benchCoarseLockBasedPriorityQueue_32Threads_EnqAndDeqSimultaneously        src/bench/benchCases/AscendingThenDescendingOrder_1000.txt  avgt       20     6593.465 ±   2148.698  us/op
b.BenchMarkMixedCase.benchCoarseLockBasedPriorityQueue_32Threads_EnqAndDeqSimultaneously       src/bench/benchCases/AscendingThenDescendingOrder_10000.txt  avgt       20    20587.220 ±   6040.673  us/op
b.BenchMarkMixedCase.benchCoarseLockBasedPriorityQueue_32Threads_EnqAndDeqSimultaneously      src/bench/benchCases/AscendingThenDescendingOrder_100000.txt  avgt       20   196944.656 ±  17465.773  us/op
b.BenchMarkMixedCase.benchCoarseLockBasedPriorityQueue_32Threads_EnqAndDeqSimultaneously     src/bench/benchCases/AscendingThenDescendingOrder_1000000.txt  avgt       20  1968862.197 ±  86993.244  us/op
b.BenchMarkMixedCase.benchCoarseLockBasedPriorityQueue_32Threads_EnqOnly                        src/bench/benchCases/AscendingThenDescendingOrder_1000.txt  avgt       20     4824.277 ±   2091.049  us/op
b.BenchMarkMixedCase.benchCoarseLockBasedPriorityQueue_32Threads_EnqOnly                       src/bench/benchCases/AscendingThenDescendingOrder_10000.txt  avgt       20     9401.590 ±  14114.430  us/op
b.BenchMarkMixedCase.benchCoarseLockBasedPriorityQueue_32Threads_EnqOnly                      src/bench/benchCases/AscendingThenDescendingOrder_100000.txt  avgt       20    57402.084 ±  16767.273  us/op
